host_response_rate,bathrooms,bedrooms,price,review_scores_rating,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,Verification_Numbers
1,1,2,189,4.85,1,1,1,1,1,0,1,1,7
1,1,2,182,4.86,1,1,1,1,1,0,1,1,7
1,1,1,28,4.61,1,1,0,1,1,1,1,1,7
1,1,1,23,4.82,1,1,0,1,1,1,1,1,7
1,1,1,100,4.96,0,0,0,1,1,0,1,0,3
0,1,3,500,4.95,0,0,1,1,1,0,1,1,5
1,1,1,84,4.93,0,0,1,1,1,0,1,1,5
0.94,1,2,173,4.75,0,0,1,1,1,0,1,1,5
1,1,5,278,4.39,0,0,0,1,1,0,1,0,3
1,1,3,168,4.78,1,1,0,1,1,1,1,1,7
1,1,1,59,4.89,0,0,0,1,1,0,1,0,3
1,1,1,48,4.78,0,0,0,1,1,0,1,0,3
1,1,1,62,4.86,0,0,0,1,1,0,1,0,3
1,1,1,85,4.91,0,0,0,1,1,0,1,0,3
1,1,1,75,4.54,0,0,0,1,1,0,1,0,3
1,1,1,79,4.93,0,0,0,1,1,1,1,1,5
1,1,3,124,5,0,0,0,1,1,0,1,0,3
1,1,3,55,4.84,0,0,0,1,1,0,1,0,3
0.9,1,1,60,4.57,0,0,1,1,1,0,1,1,5
0,1,1,214,4.84,0,0,0,1,1,0,1,0,3
1,1,1,95,4.88,0,0,1,1,1,0,1,1,5
1,1,2,180,4.6,0,0,1,1,1,1,1,1,6
1,1,2,185,0,0,0,1,1,1,1,1,1,6
1,1,2,128,4.88,0,0,0,1,1,0,1,0,3
0,1,1,30,4.73,0,0,0,1,1,0,0,0,2
1,1,1,129,4.52,0,0,1,1,1,0,1,1,5
0.9,1,1,329,4.67,0,1,0,1,1,1,1,1,6
1,1,1,52,4.54,0,0,1,1,1,1,1,1,6
1,1,1,93,4.76,0,0,1,1,1,1,1,1,6
1,1,1,86,4.87,0,0,1,1,1,0,1,1,5
1,1,2,200,5,0,0,1,1,1,1,1,1,6
0.93,1,1,80,4.45,0,0,0,1,1,1,1,1,5
1,1,1,19,4.77,1,1,0,1,1,1,1,1,7
0.95,1,3,221,4.85,1,1,1,1,1,0,1,1,7
0,1,1,219,4.6,0,0,1,1,1,0,1,1,5
0,1,2,428,4.85,0,0,1,1,1,0,1,1,5
1,1,2,124,4.86,0,0,0,1,1,0,1,0,3
1,1,1,60,4.95,0,0,1,1,1,1,1,1,6
0,1,2,121,4.97,0,0,1,1,1,0,1,1,5
0.9,1,2,99,4.33,1,1,0,1,1,1,1,1,7
1,1,2,278,4.89,1,1,1,1,1,1,1,1,8
1,1,1,56,5,0,1,0,1,1,1,1,1,6
1,1,1,273,4.68,0,0,1,1,1,0,1,1,5
0.95,1,3,218,4.62,1,1,1,1,1,0,1,1,7
1,1,2,200,4.93,0,0,1,1,1,1,1,1,6
0,1,1,90,4.86,0,0,0,1,1,0,1,0,3
0,1,1,85,4.41,0,0,0,1,1,0,1,0,3
0,1,3,298,4.83,1,1,0,1,1,1,1,1,7
1,1,2,166,4.67,1,1,1,1,1,0,1,1,7
1,1,1,60,5,0,0,0,1,1,0,1,0,3
0,1,1,129,5,0,0,1,1,1,0,1,1,5
0,1,2,125,4.71,1,1,1,1,1,1,1,1,8
0,1,4,299,5,0,0,0,1,1,0,1,0,3
1,1,1,80,4.84,0,0,0,1,1,0,1,0,3
0,1,1,70,4.85,0,0,1,1,1,0,1,1,5
0.9,1,2,99,4.78,1,1,0,1,1,1,1,1,7
1,1,1,76,4.94,0,0,0,1,1,0,1,0,3
1,1,1,85,4.85,0,0,0,1,1,0,1,0,3
1,1,1,63,4.45,0,0,1,1,1,0,1,1,5
1,1,2,175,4,0,0,1,1,1,1,1,1,6
1,1,2,118,4.61,1,1,0,0,1,1,1,1,6
0,1,1,80,4.86,0,0,0,1,1,0,1,0,3
0,1,2,150,4.92,0,0,0,1,1,0,1,0,3
0,1,2,69,5,1,1,1,1,1,1,1,1,8
1,1,1,113,4.95,0,0,0,0,1,0,1,0,2
1,1,3,205,4.95,0,0,1,1,1,1,1,1,6
1,1,2,149,4.82,0,0,0,1,1,0,1,0,3
0,1,1,82,5,0,0,0,1,1,0,1,0,3
1,1,1,56,4.84,0,0,1,1,1,0,1,1,5
1,1,3,127,4.88,0,0,1,1,1,0,1,1,5
1,1,2,200,4.9,0,0,1,1,1,1,1,1,6
